,Name,Website,Description,Tags,Country,Computer,Phone,TwitterUsername
22,Maxence Poutord,https://www.maxpou.fr/uses,"Software engineer, digital nomad, public speaker and remote worker","Developer, Front End, JavaScript, Remote, Mentor, React, Blogger, Vue.js, Testing, Gatsby",🇫🇷,apple,android,https://twitter.com/_maxpou
23,Muhammad Umair,https://gist.github.com/mumairofficial/0d97ed3dca1ba25d9f01b8db8aed42dc,"Fullstack front-end developer and designer, passionate in everything #JavaScript","JavaScript, TypeScript, Developer, React, Angular, Node.js, CSS, Electron",🇵🇰,windows,android,https://twitter.com/imumare
24,John Smith,https://solrevdev.com/uses/,"full-time carer formally head of infrastructure and operations, senior full-stack #dotnetcore #aspnetcore #vuejs developer and software engineer https://solrevdev.com","C#, ASP.NET, .NET Core, .NET, aspnetcore, Vue.js, AWS, Developer, Backend, Full Stack",🏴󠁧󠁢󠁥󠁮󠁧󠁿,apple,iphone,https://twitter.com/solrevdev
25,Nathan Knowler,https://knowlerkno.ws/uses/,"Developer focused on making the Web accessible, beautiful, and fun.","Developer, Web, Accessibility, HTML, CSS, JavaScript, React, Remix, Deno, Neovim",🇨🇦,apple,android,
26,Catalin Ciubotaru,https://catalincodes.com/uses,"Frontend Developer, writes stuff, sometimes makes sense.","Front End, Angular, React, JavaScript, TypeScript, Next.js, Developer",🇷🇴,apple,iphone,https://twitter.com/c5n_c8u
27,Ben Congdon,https://benjamincongdon.me/uses,"Golang, Python, Rust. Runs in the Cloud.","Developer, Engineer, Go, Rust, Serverless, Python, JavaScript, React",🇺🇸,apple,iphone,https://twitter.com/BenRCongdon
28,Hammy Havoc,https://hammyhavoc.com/uses/,Composer for video games and picture. Cypherpunk and open source aficionado.,"Musician, Sound designer, Composer, Music producer, Python, JavaScript, Programmer, Full Stack, SQL, VS Code, Windows, Linux, Problem Solver",🇬🇧,windows,android,https://twitter.com/hammyhavoc
29,Praveen Puglia,https://praveenpuglia.com/uses/,Web Developer. Love Vue & CSS. Building life one component at a time!,"Web Developer, Blogger, JavaScript, Node.js, CSS, Vue.js, GraphQL, MongoDB, ElasticSearch",🇮🇳,apple,android,https://twitter.com/praveenpuglia
30,Will Adams,https://willadams.dev/uses,UK developer and knife maker,"JavaScript, Netlify, TypeScript, React, Astro, Vim, Neovim, Linux, Lua, Firebase, Front End, Redux, Vite, pnpm, Remix, Gatsby, Exercism, Udemy, Inkscape, Blender, TailWindCSS",🇬🇧,linux,android,https://twitter.com/bushblade
31,Seagyn Davis,https://www.seagyndavis.com/uses,Full stack human. Hobby runner. Mainly a husband and dad.,"Laravel, React, Kubernetes, Really Full Stack",🇿🇦,apple,iphone,https://twitter.com/seagyn
32,Travis Luong,https://www.travisluong.com/uses,Full Stack Developer,"JavaScript, Developer, React, Full Stack, Node.js, DevOps, Docker, SQL",🇺🇸,apple,iphone,https://twitter.com/TravisLuong
33,Hector Saldaña,https://hectorsaldes.netlify.app/#uses,I am a software development student at university. My favorites developments are when I am looking for a solution that help people,"React, Node.js, UX, JavaScript, HTML, Java",🇲🇽,linux,android,https://twitter.com/HectorSaldes
34,Lea Vu,https://www.studioalex.dev/lea/uses/,UI/UX Designer,"UI/UX, Designer, Qualtrics, Jira, Confluence, Figma, Adobe XD, Mirro, Zeplin",🇨🇿,apple,iphone,
35,Alex Zmn,https://www.monolog.dev/uses/,"Product Owner by day, dabbling in JavaScript, Rust and self-hosting by night.","JavaScript, Rust, Figma, React, Developer",🇬🇧,apple,iphone,
36,Joe Maffei,https://joemaffei.dev/uses/,Software engineer with a passion for Web Application Development.,"Full Stack, JavaScript, Developer, React, Next.js, Vue.js, Node.js, TypeScript, Web, Accessibility, Mentor, Musician",🇺🇸,apple,iphone,https://twitter.com/joemaffei
37,Gabriel Kanev,https://mrgkanev.eu/uses/,"I love solving problems. (Un)Fortunately, I am fascinated with staying organized and making life easy for everyone.","Web Development, Entrepreneur, Project-Manager, WordPress, PHP, Laravel, TailWindCSS, Docker, GitHub, Teacher, SEO, Go",🇧🇬,apple,android,https://twitter.com/mrgkanev
38,Anthony Morris,https://anthonymorris.dev/uses/,"Builder, JavaScript wrangler, and wannabe stoic.","Developer, JavaScript, TypeScript, React, Rust, Full Stack, GraphQL, Next.js",🇨🇦,apple,iphone,https://twitter.com/amorriscode
39,Thomas Maximini,https://www.maxi.io/uses/,Freelance software developer from Germany.,"JavaScript, React, Blogger, GraphQL, Serverless, Node.js, Full Stack",🇩🇪,apple,iphone,https://twitter.com/tmaximini
40,Jérémie Bertrand,https://laedit.net/uses/,"Developer, occasional blogger","Developer, Backend, .NET Core, TypeScript, C#, .NET, JavaScript, Open Source Software",🇫🇷,windows,android,https://twitter.com/laedit
41,Justin Mahar,https://justinmahar.com/uses/,Extremely bald Software Architect & Content Creator,"Bald, Bootstrap, Developer, Entrepreneur, Firebase, Full Stack, JavaScript, Node.js, React, Software Engineer, Storybook, TypeScript, API, Apollo, Architect, Architecture, Automation, Backend, Canva, Front End, Gatsby, Git, GitHub, GraphQL, HTML/CSS, JAMstack, Java, macOS, Markdown, MDX, Musician, Netlify, npm, Open Source Software, React-Bootstrap, REST, Sass, SEO, Serverless, Software Developer, Styled Components, Styled-Components, UI/UX, VS Code, Web Developer, Web Development, Youtuber",🇺🇸,apple,iphone,https://twitter.com/thejustinmahar
42,Lucas Becker,https://github.com/runxel/uses,Real architect who also happens to write code.,"Architect, Designer, Python, Markdown, CAD, BIM",🇩🇪,windows,android,https://twitter.com/runxel
43,T G Pranesh,https://www.tgpranesh.site/uses/,Front-end Developer,"JavaScript, Angular, React, Styled Components, Developer, Gatsby, SCSS",🇮🇳,apple,android,https://twitter.com/praneshpsg239
44,Vic Demuzere,https://vic.demuzere.be/uses/,"Go developer and Linux enthousiast at home, system administrator at work.","HTML, CSS, Go, Rust, Blogger, Vim, Linux, Gamer",🇧🇪,linux,android,
45,Joshua Cerbito,https://www.cerbito.com/uses,"I write code, I train devs, and I play music.","Full Stack, Teacher, Musician, Gamer",🇵🇭,windows,iphone,https://twitter.com/joshuacerbito
46,Sowren Sen,https://sowrensen.dev/uses,Software Engineer,"Full Stack, PHP, JavaScript, Python, Laravel, vuejs, MySQL, redis, AWS, digitalocean, stripe, DevOps, Docker, GitHub",🇧🇩,apple,android,https://twitter.com/sowrensen
47,Aaron Dunphy,https://aarondunphy.com/uses,"Full Stack Developer, Coffee Lover and Photo Taker","Developer, Full Stack, Backend, Laravel, PHP, JavaScript",🇬🇧,apple,iphone,https://twitter.com/aarondunphy
48,uncenter,https://www.uncenter.org/uses,Very incompetent developer,"Python, Eleventy, Indieweb, JAMstack, Markdown, Developer",🇺🇸,apple,iphone,
49,Ivan Muratov,https://binakot.github.io/resume/uses,SOFTWARE DEVELOPER. TECHNICAL TEAM LEADER. CHIEF TECHNICAL OFFICER.,"Chief Technical Officer, Technical Team Leader, Software Developer, IoT, Java, Docker, PostgreSQL",🇷🇺,linux,iphone,https://twitter.com/binakot
50,"Pierre-Antoine ""Leny"" Delnatte",https://leny.me/uses/,"Developer, Bootcamp coach. Forging the next generation of webdevelopers.","Developer, Full Stack, JavaScript, Node.js, React, Svelte, Gatsby, PostgreSQL, GraphQL, Serverless, Docker, Mentor, Teacher, AWS, DevOps",🇧🇪,apple,iphone,https://twitter.com/leny_be
51,Ivan Malopinsky,https://imsky.co/uses,"Entrepreneur, engineer","JavaScript, Node.js, Express.js, AlpineJS, CSS, HTML, Python, Docker, Kubernetes, AWS, DevOps, Markdown, Web, Cloud, VS Code, PostgreSQL, GitHub, Git, macOS, iOS, Hugo, Bootstrap, SQL, Engineer, Entrepreneur, Backend, UI",🇺🇸,apple,iphone,https://twitter.com/imskyco
52,Kyle Platt,https://kyleplatt.com/uses,"Senior Software Engineer, Multi Startup Founder, Building Projects in Public","Kotlin, Java, JavaScript, Full Stack, Startups, Writer, Mentor",🇨🇦,windows,android,https://twitter.com/Kyle__Platt
53,Wes Baker,https://wesbaker.com/uses,"Team Lead, Software Engineer, Board/Miniature/RPG Gamer, Miniature Painter, 3D Printer, Disney fanatic","Team Lead, Software Engineer, Front End, Backend, Ruby on Rails, React, JavaScript, Serverless",🇺🇸,apple,iphone,https://twitter.com/wesbaker
54,Brad Garropy,https://bradgarropy.com/uses,"Self taught frontender at Adobe, into lifting and country music.","Developer, Front End, Full Stack, Streamer, Youtuber, Blogger, JavaScript, Python",🇺🇸,windows,android,https://twitter.com/bradgarropy
55,Paulo Regina,https://pauloregina.com/uses.html,Full Stack Web Developer,"WordPress, CSS, Node.js, PHP, JavaScript, Backend, Ubuntu Server, Developer, Full Stack",🇲🇿,windows,android,
56,Jason Raimondi,https://jasonraimondi.com/uses,Full Stack Developer,"Full Stack, Front End, Backend, DevOps, JavaScript, TypeScript, PHP, Ruby, Go, Docker",🇺🇸,apple,iphone,https://twitter.com/jsonmamondi
57,Joris Hens,https://www.goodbytes.be/uses,"Web development teacher, Security and hacking enthousiast, Cook.","Developer, Full Stack, Coach, Mentor, PHP, JavaScript, Vue.js, Node.js, CSS, Laravel, MongoDB",🇧🇪,apple,android,https://twitter.com/goodbytes
58,Jed Fonner,https://jedfonner.com/uses,Engineering VP and father who still manages to crank out a couple side projects each year. Loves Svelte and Javascript.,"Svelte, JavaScript, TypeScript, Developer, CSS, Web Developer, Enterprise Software, Father, Manager",🇺🇸,linux,android,
59,John SJ Anderson,https://genehack.org/uses,"information technology executive, conference speaker, and Open Source software developer and community organizer from Salem, Oregon, USA.","Developer, Full Stack, HTML, CSS, JavaScript, Linux, Debian, Perl, Node.js, Emacs",🇺🇸,apple,iphone,
60,Ryan Filler,https://ryanfiller.com/uses,"Front-End Developer & Designer. Interested in performance, privacy, accessibility, and sustainability.","Accessibility, CSS, Design Systems, Front End, HTML, JAMstack, JavaScript, React, Svelte, Testing, UI, UX",🇺🇸,apple,iphone,https://twitter.com/ryanfiller_
61,Kyle McDonald,https://kylemcd.com/uses/,Software Engineer,"Developer, JavaScript, Front End, Node.js, CSS, React, HTML, Engineer, Gatsby",🇺🇸,apple,iphone,https://twitter.com/designbykyle
62,Alfian Akmal Hanantio,https://amalhanaja.dev/uses,Software engineer specializing in android development 🇮🇩,"Android, TypeScript, Next.js, Developer, Docker, Figma, GitHub, Rust, Kotlin, Go, Software Engineer, TailWindCSS, React, Java, JAMstack, Full Stack",🇮🇩,apple,android,https://twitter.com/amalhanaja
63,Rynaard Burger,https://rynaardb.com/uses,"Mobile Software Engineer. Swift, Objective-C, former .NET & Java developer.","Developer, Architect, Entrepreneur, iOS, Swift, Objective-C, Docker, AWS, Open Source Software, Blogger",🇩🇪,apple,iphone,https://twitter.com/rynaardb
64,Rubén Sospedra,https://sospedra.me/uses,"JavaScript Software Engineer, speaker, and trainer","Developer, Full Stack, Entrepreneur, MongoDB, JAMstack, JavaScript, React, TypeScript, TailWindCSS, Next.js, Speaker, Blogger",🇪🇸,apple,android,
65,Sudhanshu Bajaj,https://www.sudhanshubajaj.com/uses/,Code. Travel. Sleep. Repeat. Magento Developer,"Web, Developer, Architect, PHP, Magento, Full Stack, WordPress, JavaScript, Drupal, Laravel",🇮🇳,apple,iphone,https://twitter.com/sudhanshubajaj
66,Adrian Marin,https://adrianthedev.com/uses,"Product-Minded Software Engineer, Digital nomad, no-nonsense enjoyer of life, friends and family.","Developer, Full Stack, Entrepreneur, Ruby on Rails, TypeScript",🇷🇴,apple,iphone,https://twitter.com/adrianthedev
67,Divjot Singh,https://bogas04.github.io/uses,"Web Developer, Vegan, Sikh.","Developer, Full Stack, React, TypeScript, JavaScript, Node.js, CSS",🇮🇳,apple,android,https://twitter.com/bogas04
68,Vlad Holubiev,https://vladholubiev.com/uses,Sr. Director of Technology at Shelf,"Developer, TypeScript, Next.js, ElasticSearch, Node.js, MongoDB, DynamoDB, PostgreSQL, AWS, Serverless, Python, Blogger",🇺🇦,apple,iphone,https://twitter.com/vladholubiev
69,Ahmed Adebisi,https://adebisiahmed.dev/uses,"Software Engineer, Code is a tool.","React, Vue, Node.js, TypeScript, Next.js, Nuxt, UX, Python, JavaScript",🇳🇬,apple,iphone,https://twitter.com/Ade_phil
70,Keith Donegan,https://www.keithdonegan.com/uses/,"Irish WordPress developer, based in London, UK.","WordPress, Developer, CSS, Front End",🇮🇪,apple,iphone,https://twitter.com/eirestudio
71,Roland Szabo,https://rolisz.ro/uses,"Team Lead, ML Engineer,  Board Gamer","Team Lead, Software Engineer, Machine Learning, Backend, Python, Flask, Tensorflow, Spark, Blogger",🇷🇴,linux,android,https://twitter.com/rolisz
72,Simon Stenbæk,https://sstenbaek.dk/uses,"Helicopter pilot, web developer","Developer, Full Stack, Entrepreneur, Pilot, Node.js, GraphQL, Styled Components, React, JavaScript",🇩🇰,apple,iphone,https://twitter.com/sstenb_k
73,Tim Veletta,https://www.timveletta.com/uses,Australian full-stack developer and designer,"JavaScript, TypeScript, React, Astro, Next.js, Front End, Redux, Vite, TailWindCSS, Developer, Full Stack, Designer",🇦🇺,windows,android,
74,James Mills,https://jamesmills.co.uk/uses,Work with PHP & Laravel at @clicksco in Dubai. Pleased to be part of the Laravel community.,"Developer, Blogger, Backend, PHP, Laravel, Treeware",🇦🇪,apple,iphone,https://twitter.com/jamesmills
75,Jibin Thomas,https://jibin.tech/uses,"Front-End Developer & Casual Blogger. CSS, Javascript & React","Developer, Blogger, JavaScript, Front End, CSS, React, Sass, Next.js",🇮🇳,apple,android,https://twitter.com/real_jibin
76,Artur Dudek,https://dudek.ga/uses,Fullstack developer who loves React (Next.js) and TypeScript. Co-Host @ require.pl - a polish web dev podcast.,"Web Developer, Full Stack, Front End, JavaScript, TypeScript, React, Next.js, SCSS, TailWindCSS, Serverless, Vercel, Podcaster",🇵🇱,apple,android,https://twitter.com/arturdudek_
77,Samuel Wong,https://desktopofsamuel.com/uses,Product Designer. Photographer. Traveler.,"Design, UX, UI, CSS, React, Open Source Software, Design Systems, Traveler, Illustrator, Photoshop, WordPress, Remote",🇭🇰,apple,iphone,https://twitter.com/desktopofsamuel
78,Sean Boult,https://boult.me/uses,Full stack developer who likes ReactJS,"Full Stack, React, TypeScript, Node.js, Hacking",🇺🇸,apple,iphone,https://twitter.com/Hacksore
79,John Irle,https://johnirle.com/blog/uses,"Graduate Student, Intern Developer at Charter and Go","React, MongoDB, Express.js, Node.js, Full Stack, Gatsby",🇺🇸,apple,android,https://twitter.com/IrleJohn
80,Tom VanAntwerp,https://tomvanantwerp.com/uses,"Professional web developer, hobbyist fermenter","Developer, JavaScript, React, Node.js, CSS, HTML, Blogger, Full Stack, Front End, Designer, DevOps",🇺🇸,apple,android,https://twitter.com/tvanantwerp
81,Diana García,https://dianaeli.dev/uses,"Full Stack Web Developer based in Mexico City, I love to teach and to game","Developer, Full Stack, JavaScript, React, Node.js, SQL, C#, Remote, Instructor",🇲🇽,windows,android,https://twitter.com/dianaeligg
82,Brian Hamburg,https://burgbits.com/uses,"Web Developer, Designer, and Musician","Web Developer, Developer, HTML, CSS, JavaScript, Java, CMS, Designer, Musician",🇺🇸,apple,iphone,https://twitter.com/burgbits
83,David Dias,https://thedaviddias.dev/uses/,"Front-End Developer, UX/UI enthusiast, podcaster and content creator!","Accessibility, Blogger, Desing Systems, Developer, Front End, GitHub, HTML, JavaScript, Next.js, Photographer, React, TailWindCSS, TypeScript, UX, VS Code, Web Developer, Web Development",🇨🇦,apple,iphone,https://twitter.com/TheDavidDias
84,Andy Cetnarskyj,https://www.just-andy.uk/uses,"Design Systems Designer from Edinburgh, UK","HTML5, CSS3, JavaScript, Sass, TailWindCSS, Next.js, Gatsby, Git, Figma, Affinity, Prismic, Netlify, React",🏴󠁧󠁢󠁳󠁣󠁴󠁿,apple,iphone,https://twitter.com/justandydesign1
85,Aaron A.,https://ocular-rhythm.io/uses/,Sandwich enthusiast and programmer.,"TypeScript, JavaScript, React, PHP, Gatsby, WordPress, CSS",🇺🇸,apple,android,https://twitter.com/ocularrhythm
86,Pablo Obando,https://pabloobando.dev/uses,A software engineer who enjoys programming and good beers 🍻,"JavaScript, React, React Native, Next.js, Gatsby, GraphQL, Node.js",🇨🇷,apple,iphone,https://twitter.com/pabloobandodev
87,Gaya Kessler,https://theclevernode.com/uses,Freelance web developer specialising in JavaScript,"JavaScript, Developer, Node.js, TypeScript, Front End, Backend, Full Stack, Freelance, Freelancer, Metalhead",🇳🇱,apple,iphone,https://twitter.com/GayaKessler
88,Joel M. Turner,https://joelmturner.com/uses,"Mostly Front-End Dev, some back end","Gatsby, Developer, TypeScript, JavaScript, React, Mobx, Node.js, CSS, SCSS, Web Developer, Front End",🇺🇸,apple,android,https://twitter.com/joelmturner
89,Zach Patrick,https://zachpatrick.com/uses,JavaScript and PHP developer,"Developer, Warp Terminal, PHP, Laravel, JavaScript, Node.js, TailWindCSS, MongoDB, React, Svelte, SvelteKit",🇺🇸,apple,iphone,https://twitter.com/zpthree
90,Rubén Rodríguez,https://www.rubenr.dev/uses,"Madrid based. Front-End developer. Javascript enthusiast, SASS, Bootstrap lover. Magento 2 Certified","Engineer, Developer, Front End, Magento 2, PHP, JavaScript, React, Vue.js, Sass, CSS",🇪🇸,apple,iphone,https://twitter.com/_rubenr
91,Mike Barkmin,https://www.barkmin.eu/uses/,I'm a passionate developer and researcher at the University of Duisburg-Essen at the chair of Computer Science Education.,"Developer, Full Stack, Researcher, Teacher, Python, Flask, Docker, JavaScript, React, Node.js",🇩🇪,linux,android,https://twitter.com/mikebarkmin
92,Yassine Bridi,https://yasbr.com/uses,"Developer, Designer, Creator","Developer, Designer, Full Stack, Freelancer, Entrepreneur, TypeScript, Linux, Writer",🇲🇦,apple,iphone,https://twitter.com/yassinebridi
93,Antonio Piras,https://www.antopiras.dev/uses,"Web developer from Italy, madly in love with Javascript and everything web related.","Developer, Full Stack, JavaScript, Front End, Eleventy, React, Node.js, CSS, JAMstack, Netlify, Blogger",🇮🇹,apple,android,https://twitter.com/antodev89
94,Caro Appleby,https://caro.fyi/uses,"Indie programmer, textile artist, musician, endlessly curious","Python, Django, JavaScript, Svelte, Accessibility, JAMstack, Musician, VS Code, TailWindCSS",🇬🇧,linux,android,
95,Arturo Campos,https://arturocampos.dev/uses,"Web Developer, dad, mountain biker, meat lover","Engineer, Front End, Developer, JavaScript, TypeScript, React, Angular, Vue.js, CSS",🇨🇷,apple,android,https://twitter.com/arturocr
96,Dhanish Gajjar,https://dhanishgajjar.com/uses,Developer,"Developer, JavaScript",🇵🇹,apple,iphone,https://twitter.com/dhanishgajjar
97,Bojan Bedrač,https://www.improvebadcode.com/uses,"Coding the future, one line of code at a time.","Software Craftsman, Developer, Full Stack, Speaker, Trainer, JavaScript, React, PHP, Node.js, CSS",🇦🇹,apple,iphone,https://twitter.com/xbojch
98,Colin Morris,https://vonexplaino.com/blog/posts/page/uses.html,"Steampunker, solution architect and web developer. Mad science works for all cases.","Architect, Developer, Blogger, PHP, JavaScript, Backend, Go",🇦🇺,windows,iphone,https://twitter.com/vonexplaino
99,Maicol Santos,https://maicolsantos.github.io/#/uses,Front End Developer.,"JavaScript, TypeScript, React, React Native, Next.js, Vue.js, Angular, AlpineJS, Front End, Redux, React Query, GraphQL, Developer",🇧🇷,apple,iphone,
100,Aaron Conway,https://aaronconway.co.uk/uses,Developer who can design. A designer who can develop. One or the other! (also a podcaster @ thethirdwheel.fm),"Web Developer, Front End, Designer, Podcaster, JavaScript, React, Figma, Gatsby, TailWindCSS",🇬🇧,apple,android,https://twitter.com/aaronconway7
101,Tim Downey,https://downey.io/uses/,"Software Engineer - Distributed Systems, Cloud Platforms, and Web 🙃","Software Engineer, Ruby, Ruby on Rails, Go, Kubernetes, Cloud Foundry, Open Source Software, Distributed Systems, Infrastructure, Cloud, Service Mesh, Backend, Full Stack, TDD, Scheme",🇺🇸,apple,android,https://twitter.com/tcdowney
102,Michael Amore,https://codewithlove.blog/uses,"Technologist, software creator, wannabe hacker. Father. Dog Lover.","TypeScript, Node.js, Next.js, Tailwind, AWS, Blogger",🇺🇸,apple,iphone,https://twitter.com/amore_codes
103,Pouria Ezzati,https://pouria.dev/uses,"Web developer. Digs music, football and a e s t h e t i c s","Developer, Full Stack, Designer, JavaScript, TypeScript, React, Node.js",🇮🇷,apple,iphone,https://twitter.com/poeti8
104,Logan Blangenois,https://logan-blangenois.be/uses/,Front-end developer passionate about eco-friendly (web)app and React.,"Front End, Developer, JavaScript, React, GraphQL, Gatsby, HTML, CSS, Sass, Performance",🇧🇪,apple,iphone,https://twitter.com/loganblangenois
105,George Campbell,https://gibr.net/uses,Full stack engineer at Netflix,"Full Stack, AWS, Cassandra, DevOps, Docker, ElasticSearch, GitHub, Groovy, gRPC, Java, JSON, Kafka, Netlify, Node.js, Open Source Software, Protocol Bufffers, Python, React, RxJava, SpringBoot, Svelte, TypeScript, VS Code",🇺🇸,apple,iphone,https://twitter.com/gilko
106,Kieran Osgood,https://osgood.dev/uses/,Full stack developer. Curiosity in all.,"ASP .NET, C#, CSS, Developer, Designer, ES6, HTML, JavaScript, Gatsby, Photoshop, PHP, React, React Native, Node.js, TailWindCSS, TypeScript, Web, Websites",🇬🇧,apple,android,https://twitter.com/kieranbosgood
107,Mykal Machon,https://mykal.codes/uses,"Systems analyst, Software developer, generalist nerd. Blogging about all my tags and self-hosting.","Systems Analyst, Full Stack, Python, Flask, React, DevOps, Docker, Blogger",🇨🇦,windows,android,https://twitter.com/MykalMachon
108,George Daneke,https://daneke.ge/uses/,"Web developer, freelancer, creator of things","Full Stack, Developer, PHP, JavaScript, Laravel, TailWindCSS, Vue.js, Inertia, TypeScript, React, Magento 2, MySQL, Node.js, Serverless, GraphQL, PHPStorm, SaaS, Entrepreneur, SCSS, Nuxt",🇮🇱,apple,iphone,https://twitter.com/flatroy
