Theme_Name,Theme_URL,Image_URL
Ralesk's MC,https://raw.github.com/geany/geany-themes/master/colorschemes/mc.conf,https://raw.github.com/geany/geany-themes/master/screenshots/mc.png
Retro,https://raw.github.com/geany/geany-themes/master/colorschemes/retro.conf,https://raw.github.com/geany/geany-themes/master/screenshots/retro.png
Sleepy Pastel,https://raw.github.com/geany/geany-themes/master/colorschemes/sleepy-pastel.conf,https://raw.github.com/geany/geany-themes/master/screenshots/sleepy-pastel.png
Slush and Poppies,https://raw.github.com/geany/geany-themes/master/colorschemes/slushpoppies.conf,https://raw.github.com/geany/geany-themes/master/screenshots/slushpoppies.png
Solarized (dark),https://raw.github.com/geany/geany-themes/master/colorschemes/solarized-dark.conf,https://raw.github.com/geany/geany-themes/master/screenshots/solarized-dark.png
Solarized (light),https://raw.github.com/geany/geany-themes/master/colorschemes/solarized-light.conf,https://raw.github.com/geany/geany-themes/master/screenshots/solarized-light.png
Spyder Dark,https://raw.github.com/geany/geany-themes/master/colorschemes/spyder-dark.conf,https://raw.github.com/geany/geany-themes/master/screenshots/spyder-dark.png
Steampunk,https://raw.github.com/geany/geany-themes/master/colorschemes/steampunk.conf,https://raw.github.com/geany/geany-themes/master/screenshots/steampunk.png
Tango,https://raw.github.com/geany/geany-themes/master/colorschemes/tango-dark.conf,https://raw.github.com/geany/geany-themes/master/screenshots/tango-dark.png
Tango Light,https://raw.github.com/geany/geany-themes/master/colorschemes/tango-light.conf,https://raw.github.com/geany/geany-themes/master/screenshots/tango-light.png
Tinge,https://raw.github.com/geany/geany-themes/master/colorschemes/tinge.conf,https://raw.github.com/geany/geany-themes/master/screenshots/tinge.png
Ubuntu,https://raw.github.com/geany/geany-themes/master/colorschemes/ubuntu.conf,https://raw.github.com/geany/geany-themes/master/screenshots/ubuntu.png
Vibrant,https://raw.github.com/geany/geany-themes/master/colorschemes/vibrant-ink.conf,https://raw.github.com/geany/geany-themes/master/screenshots/vibrant-ink.png
Zenburn,https://raw.github.com/geany/geany-themes/master/colorschemes/zenburn.conf,https://raw.github.com/geany/geany-themes/master/screenshots/zenburn.png
grey8,https://raw.github.com/geany/geany-themes/master/colorschemes/grey8.conf,https://raw.github.com/geany/geany-themes/master/screenshots/grey8.png
